class_name,time,accuracy_score,f1_score,n,prep_time
HardMarginSVM_tfidf,188.27109932899475,0.945,0.9468599033816426,1000,
HardMarginSVM_tfidf,483.72842669487,0.96,0.9634146341463414,1500,
HardMarginSVM_tfidf,1025.5643334388733,0.96,0.961352657004831,2000,
HardMarginSVM_tfidf,1769.5589423179626,0.976,0.9763779527559054,2500,
HardMarginSVM_tfidf,2834.3328392505646,0.9666666666666668,0.9668874172185432,3000,
HardMarginSVM_tfidf,4327.781784772873,0.9671428571428572,0.9699346405228758,3500,
HardMarginSVM_tfidf,6007.968147993088,0.96375,0.967305524239008,4000,
HardMarginSVM_tfidf,8247.298118591309,0.9622222222222222,0.9639065817409768,4500,
HardMarginSVM_tfidf,10635.539112091064,0.969,0.9708372530573848,5000,
HardMarginSVM_hashing,24.412855625152588,0.87,0.8785046728971961,1000,
LinearSVM,0.3665199279785156,0.94,0.9423076923076924,1000,
SVC,7.917324066162109,0.94,0.9428571428571428,1000,
SVM,1.119964599609375,0.93,0.9326923076923076,1000,3.9427027702331534
HardMarginSVM_hashing,46.97835469245911,0.9066666666666666,0.9141104294478528,1500,
LinearSVM,0.7793605327606201,0.9666666666666668,0.9696969696969696,1500,
SVC,18.88788318634033,0.96,0.963855421686747,1500,
SVM,1.482219696044922,0.9633333333333334,0.966966966966967,1500,5.94840669631958
HardMarginSVM_hashing,77.20053386688232,0.92,0.9219512195121952,2000,
LinearSVM,1.5107965469360352,0.965,0.966346153846154,2000,
SVC,32.41374325752258,0.955,0.9567307692307692,2000,
SVM,2.008007526397705,0.9575,0.9592326139088728,2000,7.690863370895386
HardMarginSVM_hashing,112.0115258693695,0.942,0.9428007889546351,2500,
LinearSVM,2.6102042198181152,0.978,0.9784735812133072,2500,
SVC,51.882824659347534,0.976,0.9766536964980544,2500,
SVM,1.9947452545166016,0.972,0.9722222222222222,2500,9.652252674102783
HardMarginSVM_hashing,152.65119886398315,0.9233333333333332,0.9245901639344264,3000,
LinearSVM,4.486904621124268,0.9666666666666668,0.9671052631578948,3000,
SVC,62.29796814918518,0.9633333333333334,0.9639344262295082,3000,
SVM,4.121941089630127,0.9666666666666668,0.9668874172185432,3000,11.528887271881104
HardMarginSVM_hashing,202.8161277770996,0.9257142857142856,0.9313984168865436,3500,
LinearSVM,6.691291570663452,0.9642857142857144,0.9676584734799484,3500,
SVC,84.45443034172058,0.9642857142857144,0.9676584734799484,3500,
SVM,6.403428792953491,0.9657142857142856,0.968503937007874,3500,13.53478479385376
HardMarginSVM_hashing,280.6799771785736,0.92625,0.9333333333333336,4000,
LinearSVM,8.811273336410522,0.95875,0.962962962962963,4000,
SVC,107.47538256645204,0.9675,0.9711111111111111,4000,
SVM,7.771330833435059,0.9625,0.9665924276169264,4000,15.552768468856812
HardMarginSVM_hashing,329.56393790245056,0.9311111111111112,0.9339019189765458,4500,
LinearSVM,11.114721298217772,0.9633333333333334,0.9652265542676502,4500,
SVC,145.1923258304596,0.96,0.9619450317124736,4500,
SVM,8.94252610206604,0.9666666666666668,0.9680170575692963,4500,17.62816572189331
HardMarginSVM_hashing,409.3259768486023,0.935,0.9380362249761678,5000,
LinearSVM,13.88458800315857,0.974,0.9757462686567164,5000,
SVC,172.48808789253235,0.969,0.9711090400745572,5000,
SVM,8.173143863677979,0.959,0.9603864734299516,5000,19.582746982574463
HardMarginSVM_hashing,483.6421313285828,0.9136363636363636,0.9161518093556928,5500,
LinearSVM,17.59864592552185,0.9690909090909092,0.9710391822827938,5500,
SVC,207.766441822052,0.9590909090909092,0.9616368286445012,5500,
SVM,13.653204917907717,0.9636363636363636,0.9656357388316152,5500,21.43946957588196
HardMarginSVM_hashing,611.5485730171204,0.9241666666666668,0.9273743016759776,6000,
LinearSVM,21.216293334960938,0.9766666666666668,0.9780907668231612,6000,
SVC,229.95669388771057,0.9766666666666668,0.9780907668231612,6000,
SVM,14.563397645950316,0.9758333333333332,0.9771473601260836,6000,23.2987802028656
HardMarginSVM_hashing,678.4756791591644,0.926923076923077,0.9292628443782576,6500,
LinearSVM,25.597174167633057,0.9776923076923076,0.9787234042553192,6500,
SVC,281.14698481559753,0.9746153846153848,0.9759650400582666,6500,
